Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E0,09/09/2000,Middlesbrough,Everton,1,2,A,1,0,H,30885,Steve Bennett,9,12,5,9,0,0,7,7,16,5,6,7,3,0,0,0,30,0,2,3.3,3.2,1.9,2.9,3.2,1.9,3.2,3.5,1.7,3.4,4.2,1.83,3.3,3.6
E0,09/09/2000,Newcastle,Chelsea,0,0,D,0,0,D,51687,Graham Poll,10,10,4,3,0,0,5,6,17,21,4,6,0,3,0,0,0,30,2.35,3.25,2.6,2.35,3,2.35,2.5,3.25,2.4,2.6,3.2,2.4,2.4,3.25,2.5
E0,10/09/2000,Derby,Charlton,2,2,D,2,0,H,22310,Peter Jones,12,10,6,6,0,0,4,11,17,12,0,3,3,1,0,0,30,10,2,3.3,3.2,1.8,3,3.5,2.1,3.4,2.85,2.05,3.2,3.2,2,3.2,3.2
E0,11/09/2000,Tottenham,West Ham,1,0,H,0,0,D,33282,Steve Dunn,15,11,7,5,1,0,11,3,14,13,2,7,1,2,0,0,10,20,1.85,3.3,3.7,2,2.9,3,2,3.2,3.2,2.05,3.2,3.4,1.9,3.25,3.4
E0,16/09/2000,Arsenal,Coventry,2,1,H,1,0,H,37794,Mike Dean,18,6,13,2,0,1,8,4,5,13,3,0,1,2,0,0,10,20,1.25,4.8,9,1.35,3.8,6.2,1.25,4.5,10,1.33,4,9,1.25,4.33,10.5
E0,16/09/2000,Aston Villa,Bradford,2,0,H,1,0,H,27849,Rob Styles,12,8,7,4,0,0,5,6,8,12,10,10,0,2,0,0,0,20,1.53,3.8,5,1.4,3.6,5.5,1.5,3.4,6,1.5,3.5,6,1.57,3.5,5
E0,16/09/2000,Charlton,Tottenham,1,0,H,1,0,H,20043,Jeff Winter,9,10,5,5,1,1,7,5,8,10,3,2,0,0,0,0,0,0,2.6,3.3,2.3,2.7,2.9,2.2,2.75,3.2,2.25,2.63,3.2,2.38,2.62,3.25,2.3
E0,16/09/2000,Everton,Man United,1,3,A,0,3,A,38541,Dermot Gallagher,6,17,4,9,0,1,6,5,10,11,12,4,4,1,0,0,40,10,4.4,3.4,1.66,3.5,3,1.8,4.3,3.2,1.7,5,3.5,1.62,4.33,3.3,1.7
E0,16/09/2000,Leeds,Ipswich,1,2,A,1,1,D,35552,Mark Halsey,11,12,6,7,0,0,6,3,12,19,6,0,1,3,0,0,10,30,1.35,3.9,8,1.35,3.8,6.2,1.4,4,6.5,1.44,3.6,7,1.5,3.4,6
E0,16/09/2000,Southampton,Newcastle,2,0,H,0,0,D,15221,Barry Knight,13,10,9,7,0,0,4,8,14,14,4,4,0,0,0,0,0,0,2.75,3.35,2.2,2.9,2.9,2.1,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.2
E0,16/09/2000,Sunderland,Derby,2,1,H,1,0,H,45343,Paul Taylor,15,10,8,5,2,0,4,5,16,28,0,5,2,3,0,0,20,30,1.65,3.4,4.1,1.8,3,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.72,3.4,4
E0,17/09/2000,Chelsea,Leicester,0,2,A,0,1,A,33697,Graham Barber,16,7,10,5,1,0,15,3,16,17,1,4,3,1,0,0,30,10,1.45,3.65,6.2,1.5,3.4,4.7,1.5,3.4,6,1.5,3.5,6,1.53,3.4,5.5
E0,17/09/2000,Man City,Middlesbrough,1,1,D,0,0,D,32053,Steve Lodge,11,4,4,2,1,0,9,3,15,11,3,2,2,5,0,0,20,50,2.1,3.3,2.9,2.2,3,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.25,2.62
E0,17/09/2000,West Ham,Liverpool,1,1,D,0,1,A,25998,David Ellaray,15,7,4,2,0,0,9,0,5,13,6,3,0,2,0,0,0,20,3,3.3,2,2.7,2.9,2.2,2.75,3.2,2.25,2.75,3.25,2.25,2.62,3.25,2.3
E0,23/09/2000,Bradford,Southampton,0,1,A,0,1,A,16163,Steve Dunn,14,6,6,4,0,0,7,5,14,18,5,6,3,1,0,0,30,10,2.05,3.2,3.1,2.1,2.9,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.25,2.75
E0,23/09/2000,Coventry,West Ham,0,3,A,0,2,A,20120,Neale Barry,9,12,2,10,1,0,5,6,12,11,0,6,0,1,0,0,0,10,2.2,3.15,2.85,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.2,2.7,2.2,3.25,2.75
E0,23/09/2000,Derby,Leeds,1,1,D,0,1,A,26248,Barry Knight,13,16,7,6,1,1,7,4,17,15,3,3,2,2,1,0,45,20,2.75,3.05,2.25,2.35,3,2.35,2.75,3.25,2.2,2.75,3.25,2.25,3.2,3.2,2
E0,23/09/2000,Ipswich,Arsenal,1,1,D,0,0,D,22030,Paul Durkin,17,10,6,4,0,0,4,7,8,13,1,6,1,2,0,0,10,20,4.2,3.25,1.75,3.3,3,1.85,4.3,3.4,1.65,4,3.2,1.8,4.5,3.3,1.66
E0,23/09/2000,Liverpool,Sunderland,1,1,D,1,1,D,44713,Mike Riley,11,8,6,3,0,0,12,3,14,18,8,5,2,2,0,0,20,20,1.33,4.1,7.5,1.4,3.6,5.5,1.35,3.75,8,1.4,3.75,7,1.4,3.75,7
E0,23/09/2000,Man United,Chelsea,3,3,D,3,2,H,67568,Peter Jones,11,13,5,5,1,0,8,4,15,19,3,6,3,2,0,0,30,20,1.55,3.5,5.1,1.6,3.2,4.2,1.6,3.5,4.5,1.62,3.4,5,1.61,3.5,4.5
E0,23/09/2000,Middlesbrough,Aston Villa,1,1,D,0,0,D,27556,Mark Halsey,12,15,5,7,0,1,5,5,7,14,6,2,3,0,0,0,30,0,2.3,3.35,2.6,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62
E0,23/09/2000,Newcastle,Charlton,0,1,A,0,1,A,50866,Andy D'Urso,12,4,5,2,0,1,4,7,14,10,3,11,1,2,0,0,10,20,1.45,3.7,6.3,1.45,3.5,5,1.5,3.4,6,1.44,3.6,7,1.44,3.6,6.5
E0,23/09/2000,Tottenham,Man City,0,0,D,0,0,D,36069,Steve Bennett,18,7,5,2,1,0,5,4,10,14,2,4,0,2,0,0,0,20,1.55,3.5,5.2,1.6,3.3,4,1.55,3.5,5,1.6,3.5,5,1.53,3.4,5.5
E0,24/09/2000,Leicester,Everton,1,1,D,1,0,H,18084,Alan Wiley,10,9,4,3,1,0,9,3,14,13,1,1,3,1,0,0,30,10,1.85,3.25,3.65,1.75,3.1,3.6,1.7,3.2,4.3,1.95,3.2,3.4,1.8,3.3,3.75
E0,30/09/2000,Aston Villa,Derby,4,1,H,2,0,H,27941,David Ellaray,12,11,7,6,0,1,6,6,0,1,4,3,1,1,0,0,10,10,1.5,3.45,5.3,1.5,3.4,4.7,1.55,3.5,5,1.5,3.4,6,1.53,3.4,5.5
E0,30/09/2000,Charlton,Coventry,2,2,D,0,1,A,20043,Rob Styles,12,10,8,6,1,0,6,6,8,16,5,0,1,2,0,0,10,20,1.8,3.3,3.7,1.8,3,3.5,1.85,3.25,3.6,1.83,3.25,3.75,1.8,3.3,3.75
E0,30/09/2000,Everton,Ipswich,0,3,A,0,1,A,32597,Jeff Winter,7,9,3,7,0,0,4,1,6,5,2,4,1,0,0,0,10,0,1.7,3.2,4.3,1.75,3.1,3.6,1.65,3.25,4.5,1.73,3.2,4.5,1.72,3.4,4
E0,30/09/2000,Leeds,Tottenham,4,3,H,0,1,A,37562,Neale Barry,14,10,7,5,1,0,6,4,11,20,4,1,0,2,0,0,0,20,1.66,3.4,4.2,1.8,3,3.5,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.4,4
E0,30/09/2000,Man City,Newcastle,0,1,A,0,0,D,34497,Paul Taylor,9,15,7,9,0,1,10,8,16,12,7,8,0,1,0,0,0,10,2.4,3.3,2.5,2.3,2.9,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.25,2.5
E0,30/09/2000,Southampton,Middlesbrough,1,3,A,0,2,A,14903,Graham Poll,16,7,8,5,2,0,6,6,6,22,5,1,2,2,0,0,20,20,2.15,3.2,2.85,2.1,3,2.8,2.1,3.2,3,2.1,3.25,3,2.2,3.25,2.75
E0,30/09/2000,West Ham,Bradford,1,1,D,1,0,H,25407,Mike Dean,14,9,6,6,0,0,7,2,14,10,8,0,3,2,0,0,30,20,1.5,3.55,6.1,1.55,3.3,4.5,1.55,3.5,5,1.4,3.75,6.5,1.44,3.6,6.5
E0,01/10/2000,Arsenal,Man United,1,0,H,1,0,H,38146,Graham Barber,7,13,5,4,0,0,3,11,18,17,8,1,2,3,0,0,20,30,2.55,3.2,2.45,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,2.9,2.62
E0,01/10/2000,Chelsea,Liverpool,3,0,H,2,0,H,34966,Dermot Gallagher,11,10,5,2,0,0,3,1,14,14,4,2,1,1,0,0,10,10,2,3.3,3.15,2.1,2.9,2.9,2.1,3.2,3,2.1,3.1,3.2,2.2,3,3
E0,01/10/2000,Sunderland,Leicester,0,0,D,0,0,D,45338,Steve Lodge,11,8,5,2,0,0,6,2,12,8,4,9,3,1,0,0,30,10,2.05,3.2,3.15,1.9,3,3.1,2.1,3.2,3,2,3.2,3.3,1.9,3.2,3.5
E0,14/10/2000,Arsenal,Aston Villa,1,0,H,0,0,D,38046,Rob Harris,16,8,10,3,0,0,7,4,12,20,3,3,1,4,0,1,10,65,1.47,3.5,6,1.6,3.2,4.2,1.4,3.75,7,1.53,3.4,6,1.53,3.4,5.5
